#[0]-k [1]-P_k(z=0) [2]-P_k(z=3) [3]-P_k(z=20)
1.013583E-04 1.833149E+03 1.857804E+02 6.700617E+00 
1.041305E-04 1.881200E+03 1.906515E+02 6.876369E+00 
1.069786E-04 1.930509E+03 1.956500E+02 7.056727E+00 
1.099045E-04 1.981106E+03 2.007794E+02 7.241809E+00 
1.129105E-04 2.033026E+03 2.060429E+02 7.431740E+00 
1.159987E-04 2.086303E+03 2.114441E+02 7.626645E+00 
1.191714E-04 2.140972E+03 2.169866E+02 7.826656E+00 
1.224308E-04 2.197069E+03 2.226739E+02 8.031904E+00 
1.257794E-04 2.254631E+03 2.285100E+02 8.242527E+00 
1.292195E-04 2.313695E+03 2.344986E+02 8.458664E+00 
1.327538E-04 2.374302E+03 2.406437E+02 8.680458E+00 
1.363847E-04 2.436489E+03 2.469493E+02 8.908059E+00 
1.401149E-04 2.500299E+03 2.534197E+02 9.141615E+00 
1.439472E-04 2.565772E+03 2.600589E+02 9.381284E+00 
1.478842E-04 2.632953E+03 2.668715E+02 9.627223E+00 
1.519290E-04 2.701884E+03 2.738619E+02 9.879595E+00 
1.560844E-04 2.772610E+03 2.810347E+02 1.013857E+01 
1.603534E-04 2.845178E+03 2.883945E+02 1.040431E+01 
1.647392E-04 2.919635E+03 2.959462E+02 1.067700E+01 
1.692449E-04 2.996028E+03 3.036948E+02 1.095682E+01 
1.738739E-04 3.074409E+03 3.116451E+02 1.124395E+01 
1.786295E-04 3.154826E+03 3.198026E+02 1.153859E+01 
1.835151E-04 3.237333E+03 3.281724E+02 1.184092E+01 
1.885344E-04 3.321982E+03 3.367600E+02 1.215114E+01 
1.936910E-04 3.408827E+03 3.455710E+02 1.246946E+01 
1.989886E-04 3.497925E+03 3.546110E+02 1.279609E+01 
2.044311E-04 3.589332E+03 3.638859E+02 1.313124E+01 
2.100224E-04 3.683107E+03 3.734016E+02 1.347514E+01 
2.157667E-04 3.779309E+03 3.831643E+02 1.382800E+01 
2.216681E-04 3.878000E+03 3.931802E+02 1.419005E+01 
2.277309E-04 3.979241E+03 4.034557E+02 1.456154E+01 
2.339595E-04 4.083098E+03 4.139975E+02 1.494270E+01 
2.403584E-04 4.189635E+03 4.248122E+02 1.533379E+01 
2.469324E-04 4.298919E+03 4.359066E+02 1.573506E+01 
2.536862E-04 4.411019E+03 4.472878E+02 1.614676E+01 
2.606247E-04 4.526003E+03 4.589629E+02 1.656916E+01 
2.677530E-04 4.643945E+03 4.709392E+02 1.700253E+01 
2.750763E-04 4.764916E+03 4.832244E+02 1.744716E+01 
2.825998E-04 4.888991E+03 4.958259E+02 1.790333E+01 
2.903291E-04 5.016247E+03 5.087518E+02 1.837133E+01 
2.982699E-04 5.146763E+03 5.220100E+02 1.885147E+01 
3.064278E-04 5.280616E+03 5.356087E+02 1.934404E+01 
3.148088E-04 5.417888E+03 5.495561E+02 1.984936E+01 
3.234191E-04 5.558661E+03 5.638608E+02 2.036775E+01 
3.322648E-04 5.703021E+03 5.785315E+02 2.089953E+01 
3.413525E-04 5.851053E+03 5.935770E+02 2.144505E+01 
3.506888E-04 6.002846E+03 6.090064E+02 2.200464E+01 
3.602804E-04 6.158489E+03 6.248290E+02 2.257865E+01 
3.701343E-04 6.318075E+03 6.410542E+02 2.316745E+01 
3.802578E-04 6.481697E+03 6.576916E+02 2.377139E+01 
3.906581E-04 6.649449E+03 6.747509E+02 2.439085E+01 
4.013429E-04 6.821429E+03 6.922420E+02 2.502621E+01 
4.123200E-04 6.997734E+03 7.101751E+02 2.567785E+01 
4.235972E-04 7.178465E+03 7.285603E+02 2.634617E+01 
4.351830E-04 7.363725E+03 7.474083E+02 2.703158E+01 
4.470855E-04 7.553619E+03 7.667297E+02 2.773448E+01 
4.593137E-04 7.748253E+03 7.865355E+02 2.845530E+01 
4.718763E-04 7.947734E+03 8.068367E+02 2.919448E+01 
4.847824E-04 8.152173E+03 8.276444E+02 2.995243E+01 
4.980416E-04 8.361680E+03 8.489700E+02 3.072960E+01 
5.116634E-04 8.576368E+03 8.708248E+02 3.152645E+01 
5.256578E-04 8.796353E+03 8.932206E+02 3.234342E+01 
5.400350E-04 9.021751E+03 9.161692E+02 3.318099E+01 
5.548053E-04 9.252682E+03 9.396828E+02 3.403962E+01 
5.699797E-04 9.489266E+03 9.637735E+02 3.491982E+01 
5.855691E-04 9.731626E+03 9.884539E+02 3.582205E+01 
6.015848E-04 9.979885E+03 1.013736E+03 3.674683E+01 
6.180386E-04 1.023417E+04 1.039633E+03 3.769464E+01 
6.349425E-04 1.049460E+04 1.066157E+03 3.866599E+01 
6.523086E-04 1.076131E+04 1.093321E+03 3.966138E+01 
6.701498E-04 1.103442E+04 1.121139E+03 4.068134E+01 
6.884789E-04 1.131408E+04 1.149622E+03 4.172639E+01 
7.073093E-04 1.160040E+04 1.178786E+03 4.279707E+01 
7.266548E-04 1.189353E+04 1.208642E+03 4.389391E+01 
7.465293E-04 1.219360E+04 1.239204E+03 4.501746E+01 
7.669475E-04 1.250074E+04 1.270487E+03 4.616824E+01 
7.879241E-04 1.281509E+04 1.302503E+03 4.734678E+01 
8.094744E-04 1.313678E+04 1.335265E+03 4.855361E+01 
8.316142E-04 1.346594E+04 1.368788E+03 4.978928E+01 
8.543594E-04 1.380271E+04 1.403085E+03 5.105433E+01 
8.777268E-04 1.414723E+04 1.438170E+03 5.234929E+01 
9.017333E-04 1.449963E+04 1.474056E+03 5.367472E+01 
9.263964E-04 1.486006E+04 1.510758E+03 5.503116E+01 
9.517341E-04 1.522864E+04 1.548289E+03 5.641915E+01 
9.777647E-04 1.560552E+04 1.586663E+03 5.783919E+01 
1.004507E-03 1.599082E+04 1.625893E+03 5.929182E+01 
1.031981E-03 1.638469E+04 1.665994E+03 6.077754E+01 
1.060207E-03 1.678725E+04 1.706979E+03 6.229688E+01 
1.089204E-03 1.719864E+04 1.748861E+03 6.385033E+01 
1.118995E-03 1.761899E+04 1.791654E+03 6.543839E+01 
1.149600E-03 1.804843E+04 1.835371E+03 6.706158E+01 
1.181043E-03 1.848709E+04 1.880026E+03 6.872036E+01 
1.213345E-03 1.893510E+04 1.925631E+03 7.041516E+01 
1.246531E-03 1.939255E+04 1.972197E+03 7.214640E+01 
1.280625E-03 1.985958E+04 2.019736E+03 7.391447E+01 
1.315651E-03 2.033628E+04 2.068259E+03 7.571976E+01 
1.351635E-03 2.082277E+04 2.117777E+03 7.756265E+01 
1.388603E-03 2.131914E+04 2.168301E+03 7.944347E+01 
1.426582E-03 2.182551E+04 2.219842E+03 8.136256E+01 
1.465601E-03 2.234195E+04 2.272408E+03 8.332022E+01 
1.505686E-03 2.286856E+04 2.326008E+03 8.531672E+01 
1.546868E-03 2.340542E+04 2.380650E+03 8.735229E+01 
1.589176E-03 2.395258E+04 2.436341E+03 8.942713E+01 
1.632641E-03 2.451011E+04 2.493087E+03 9.154140E+01 
1.677295E-03 2.507807E+04 2.550893E+03 9.369524E+01 
1.723170E-03 2.565650E+04 2.609765E+03 9.588876E+01 
1.770300E-03 2.624545E+04 2.669706E+03 9.812203E+01 
1.818719E-03 2.684494E+04 2.730720E+03 1.003951E+02 
1.868462E-03 2.745501E+04 2.792809E+03 1.027079E+02 
1.919566E-03 2.807565E+04 2.855973E+03 1.050605E+02 
1.972068E-03 2.870684E+04 2.920210E+03 1.074527E+02 
2.026006E-03 2.934858E+04 2.985520E+03 1.098844E+02 
2.081418E-03 3.000082E+04 3.051898E+03 1.123555E+02 
2.138347E-03 3.066352E+04 3.119340E+03 1.148656E+02 
2.196832E-03 3.133664E+04 3.187841E+03 1.174147E+02 
2.256917E-03 3.202009E+04 3.257393E+03 1.200022E+02 
2.318646E-03 3.271379E+04 3.327989E+03 1.226279E+02 
2.382062E-03 3.341764E+04 3.399616E+03 1.252913E+02 
2.447214E-03 3.413150E+04 3.472262E+03 1.279919E+02 
2.514147E-03 3.485521E+04 3.545910E+03 1.307291E+02 
2.582911E-03 3.558861E+04 3.620543E+03 1.335024E+02 
2.653555E-03 3.633151E+04 3.696142E+03 1.363111E+02 
2.726132E-03 3.708370E+04 3.772686E+03 1.391543E+02 
2.800694E-03 3.784496E+04 3.850152E+03 1.420314E+02 
2.877295E-03 3.861505E+04 3.928516E+03 1.449415E+02 
2.955991E-03 3.939369E+04 4.007750E+03 1.478835E+02 
3.036840E-03 4.018055E+04 4.087820E+03 1.508563E+02 
3.119900E-03 4.097530E+04 4.168693E+03 1.538586E+02 
3.205231E-03 4.177756E+04 4.250331E+03 1.568889E+02 
3.292897E-03 4.258693E+04 4.332693E+03 1.599459E+02 
3.382960E-03 4.340298E+04 4.415737E+03 1.630280E+02 
3.475487E-03 4.422527E+04 4.499418E+03 1.661335E+02 
3.570544E-03 4.505333E+04 4.583688E+03 1.692608E+02 
3.668201E-03 4.588665E+04 4.668497E+03 1.724078E+02 
3.768529E-03 4.672468E+04 4.753788E+03 1.755726E+02 
3.871601E-03 4.756682E+04 4.839499E+03 1.787528E+02 
3.977493E-03 4.841243E+04 4.925566E+03 1.819461E+02 
